OUTCOME,TOP_GOLD_DIFF,TOP1_IMPACT,TOP2_IMPACT,JUNGLE_GOLD_DIFF,JUNGLE1_IMPACT,JUNGLE2_IMPACT,MIDDLE_GOLD_DIFF,MIDDLE1_IMPACT,MIDDLE2_IMPACT,BOTTOM_GOLD_DIFF,BOTTOM1_IMPACT,BOTTOM2_IMPACT,UTILITY_GOLD_DIFF,UTILITY1_IMPACT,UTILITY2_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
0,-1327,0,2,-1154,2,0,622,0,2,814,2,2,833,0,2,-2,0,0,0,0,0,0,0,-1,1,1,0,-1,0,-1,0,0,-1,-1,1
1,-3479,1,0,-1210,0,1,904,0,0,1502,1,1,-620,0,2,-1,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,2,0,0,0,0
0,-115,1,2,-1164,0,0,-489,3,1,-1762,1,3,-1246,2,4,0,1,-2,0,0,2,1,1,0,0,0,0,-1,-2,0,1,0,-1,-1,-2
0,1965,0,3,-1153,1,2,-1372,1,3,-3674,1,1,-1257,0,3,0,-3,1,0,0,-1,0,0,0,-2,0,0,0,0,-1,0,0,0,-1,-2
1,1336,3,0,361,1,2,2419,1,1,-870,2,2,-1953,3,0,-1,0,0,-1,0,1,1,-1,0,1,0,0,0,-1,0,-1,0,-2,0,-1
1,2315,0,2,277,0,0,811,0,0,-1555,2,0,-287,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,0,0,1,0,-1,-1
1,-257,2,1,-2178,1,0,-1943,2,2,3703,1,2,1163,1,4,-2,0,0,0,0,-1,0,1,1,-2,1,0,0,-1,2,3,0,0,-1,1
0,-1533,1,0,2888,0,3,-2284,2,1,-2649,1,3,-1642,2,4,0,0,0,0,1,1,0,1,0,0,0,-1,0,-1,0,-2,0,0,0,-4
1,2162,1,0,1677,3,1,-1162,2,3,-2728,1,1,-653,2,2,-1,0,0,0,-1,2,0,-1,-1,1,0,0,0,-1,0,1,0,-1,1,-1
1,3625,1,1,1302,1,4,2643,1,1,359,0,4,1266,1,3,-1,0,0,0,0,1,2,0,1,2,0,2,0,2,0,1,0,0,0,-1
1,831,0,0,-453,0,2,-184,0,2,2828,1,0,313,1,5,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,-1,0,0
0,-2085,3,1,2636,0,3,-2003,1,3,-1647,2,1,-1516,2,1,-1,0,0,0,3,-1,2,1,0,-3,0,0,0,0,0,-1,0,0,0,-1
0,-1622,1,2,-425,2,0,710,0,1,1803,0,1,155,1,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2
0,-1747,1,4,-4400,0,2,-1723,1,1,-946,1,2,-1336,2,2,-3,0,1,-1,0,0,-1,0,0,-1,0,1,1,-2,0,1,0,0,-2,0
1,2620,2,2,-1168,1,5,793,1,3,865,1,0,888,2,0,1,-1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,-1,-1,0
0,-818,1,3,-943,3,3,-2930,0,2,-2536,1,0,-1292,1,6,2,-3,0,0,0,-1,-1,1,0,0,1,-1,0,0,0,0,-1,0,-4,-1
0,-2517,0,0,345,0,1,-1106,1,1,-1943,1,1,-2024,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1
0,-3027,0,2,-2707,1,3,-2973,1,3,-981,1,1,-210,0,1,-2,0,0,0,-1,-1,1,0,0,-1,-1,0,0,0,-1,0,0,-1,0,0
1,-931,1,2,1147,1,2,473,2,2,4237,0,3,1130,0,3,0,0,0,0,1,1,-1,1,0,-2,3,1,1,1,1,1,0,0,0,0
0,-1406,1,2,-757,1,3,-1803,1,0,61,1,1,-1842,0,1,-1,-1,0,0,-2,1,0,-1,1,1,1,0,0,-1,0,0,0,0,-1,0
0,329,1,2,-28,2,0,2777,0,1,383,1,1,1304,1,1,-2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-1,0
1,-1277,1,0,754,3,5,740,0,4,5454,4,0,1013,3,5,-1,0,0,0,0,0,-1,1,0,2,0,1,-1,1,2,2,0,0,-1,-2
1,1720,2,1,-340,2,1,1480,1,1,-774,1,0,-837,3,1,-1,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-2
0,-2622,1,1,-1022,1,1,-1045,0,0,1036,1,0,-125,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-3044,2,1,96,3,2,778,1,1,1164,1,1,-54,0,1,-1,0,0,0,0,0,0,0,1,2,1,0,-1,0,0,0,-1,0,0,0
0,222,0,2,-732,1,0,-2983,0,1,-2043,0,0,-997,2,4,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,-2,-2
1,-1192,1,1,-735,1,1,-978,2,2,2710,3,4,1790,1,2,-1,0,0,0,0,0,3,2,0,0,0,-1,0,-3,1,0,0,1,0,0
1,-520,1,2,-580,1,2,-1472,1,0,1937,1,2,-796,4,1,0,0,0,-1,-1,0,1,0,1,-1,1,0,0,1,0,0,1,1,-3,-1
0,-3622,0,1,-301,2,1,-1983,2,3,2388,2,0,2297,2,2,-1,0,0,0,0,-1,1,2,-1,-1,0,0,0,0,0,0,-1,0,2,1
1,-1843,2,0,1353,4,2,-317,1,1,-154,1,4,-436,3,3,1,-1,0,-1,0,-3,1,2,-1,1,1,0,0,0,0,0,0,-1,0,0
1,2859,0,2,1294,1,0,-440,1,1,-1534,0,0,-899,5,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,-2,-2,-1
0,-1226,1,0,3123,3,2,-20,3,2,-1651,2,3,1905,5,3,0,1,0,1,0,2,1,0,0,-1,-1,1,0,0,-1,0,-1,3,0,-1
0,-472,3,1,454,0,0,319,2,0,943,2,2,1160,1,3,-1,1,0,1,1,1,1,0,2,0,0,0,0,-1,-1,0,0,-1,-2,1
1,727,2,0,-860,0,0,-333,0,1,1236,2,2,97,0,2,-2,0,0,0,0,1,1,0,0,0,0,0,0,-2,0,2,0,0,0,1
1,-778,2,1,-1578,0,2,-108,1,0,3462,1,1,2504,0,4,0,-1,0,1,0,0,0,0,1,-1,0,2,-1,1,0,1,0,0,0,1
1,520,1,0,-1272,0,2,797,0,2,936,4,0,-284,2,2,-1,0,0,0,0,2,0,0,0,1,0,1,0,-2,0,0,0,-1,0,-1
0,-1522,1,2,-3669,0,2,-1507,0,2,-1359,1,4,-891,0,1,-1,-1,0,0,-1,-1,0,0,0,-2,1,0,0,-3,0,-1,1,-1,0,0
0,-195,1,1,-161,1,0,-1708,2,3,-591,2,2,300,1,2,0,0,-1,0,0,2,0,1,1,-2,1,0,0,-1,-1,0,0,-1,0,0
0,-632,0,0,-1172,0,0,-599,3,1,-3096,1,3,-677,1,4,0,0,0,0,0,3,0,1,0,0,0,0,-1,-1,0,-1,0,-1,-1,-2
1,305,2,0,-1464,1,6,489,1,1,4203,2,1,1951,2,3,0,-1,0,0,0,-1,0,0,0,2,-1,1,-1,2,1,2,0,-1,-1,1
1,-494,1,0,-1737,1,2,3376,2,1,-817,1,2,183,1,1,-1,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,-1,0,-1,0,2
0,157,2,2,853,2,2,-1353,2,1,-2367,1,1,-173,1,3,0,-1,0,0,1,1,-2,0,0,0,1,0,1,1,-1,1,-1,-1,-1,0
0,1533,2,2,-20,2,1,1199,1,0,-2618,2,2,1463,4,4,-1,0,-1,0,1,1,0,4,1,0,0,0,0,-1,0,0,0,0,0,-2
1,314,2,3,-625,0,2,4659,0,0,-1462,1,0,-414,0,3,-1,0,0,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
0,-2507,0,4,-2583,2,1,13,0,1,-1123,1,2,-627,0,3,-1,-1,0,0,-1,0,0,0,0,0,0,0,-2,0,0,0,-2,0,0,-1
0,-1547,1,2,-1775,0,1,-833,0,1,-58,1,3,-1632,4,2,-2,0,0,0,0,0,-1,1,0,0,1,1,0,0,0,-1,0,0,-1,-1
0,3998,0,2,-417,2,0,1249,0,1,1349,0,0,1450,3,5,-2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,-3,0,-2
0,928,1,2,-4256,2,2,653,0,2,-1501,0,1,-519,0,2,-2,0,0,0,0,-1,-1,0,1,0,0,0,0,-1,0,0,0,-2,0,0
1,1263,0,2,3244,1,6,2430,1,4,4450,3,5,2829,0,2,0,1,0,0,2,2,0,0,0,4,-1,1,-1,1,-1,1,0,0,0,5
1,-1336,0,2,1624,3,3,885,3,4,1593,4,4,3810,0,1,1,1,0,0,1,-2,2,0,-2,-1,0,0,0,-1,0,-2,0,2,3,2
0,-3171,0,0,-3189,0,1,-1248,0,1,-1038,1,2,-1525,0,2,0,0,0,0,-1,0,1,0,0,-1,0,0,0,-1,-1,0,0,-1,-1,0
0,1255,1,2,-668,1,7,-215,0,2,-6621,2,0,-1873,0,5,-1,0,-1,0,0,-2,-4,0,0,0,0,0,0,0,0,0,0,0,-1,-3
1,1867,0,1,532,2,3,-145,0,1,456,1,3,-229,3,4,1,0,0,0,0,0,-1,1,1,0,2,2,0,1,0,1,0,-1,1,-2
1,-1924,1,2,2780,1,2,114,2,1,1582,1,2,546,3,4,2,-1,0,0,1,1,1,1,-1,0,1,-1,0,0,0,2,0,-1,0,-2
0,622,0,1,421,0,0,-777,0,0,-1011,1,1,-197,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
1,224,2,3,372,2,1,66,1,3,1561,1,2,672,0,3,-1,1,0,0,0,2,1,0,1,-1,0,0,0,-1,0,3,0,0,0,1
0,1377,1,0,-103,1,2,635,0,1,-2287,1,3,-67,2,4,0,0,0,0,0,0,-1,1,0,0,1,0,0,-2,-1,1,0,-2,-1,-1
0,-4358,1,2,-1354,2,3,-1450,0,2,-2054,1,0,-1241,1,2,0,-2,0,1,0,-1,1,-2,1,2,-2,0,0,0,0,0,-1,0,0,-1
0,-2713,1,2,-1109,3,2,-305,0,0,464,1,1,-1160,1,5,0,-1,-1,0,-1,-1,0,0,0,2,1,0,1,0,0,1,0,-1,-1,-3
1,-197,1,3,-941,1,1,1724,0,0,-1463,1,0,-648,3,0,-1,0,0,0,1,0,0,0,1,1,0,0,0,-1,0,0,0,-1,-1,-1
0,1146,1,1,-122,1,0,-1122,1,0,-1,0,2,947,2,2,0,-1,0,1,1,0,0,1,0,0,0,0,0,-1,0,-1,0,0,1,-1
1,2043,2,1,2400,0,4,3027,1,4,-514,2,2,229,1,1,-1,1,0,0,1,2,1,1,0,1,0,0,0,1,0,-2,0,0,1,0
0,1994,2,1,-34,0,1,-1173,1,1,-1413,1,4,-832,1,2,-1,0,0,0,1,1,0,1,-1,0,0,0,1,-2,-2,0,-1,-1,0,0
0,473,1,5,-4318,2,4,962,1,2,-310,2,2,-1847,2,3,-4,0,-1,0,1,-2,0,-2,0,-1,2,1,0,-1,1,1,0,-3,0,0
1,997,1,0,1303,0,3,2414,2,0,-279,0,1,939,1,6,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
0,263,2,1,-546,0,1,-4020,1,3,805,0,1,-793,2,2,-1,0,0,0,2,0,0,0,0,-2,0,-1,0,0,0,0,0,0,-1,0
1,3905,1,2,698,1,3,1999,1,2,2738,2,2,316,3,3,1,0,0,0,1,0,1,1,0,-1,1,1,1,0,0,1,0,0,-2,-1
1,2489,1,1,1271,2,0,-1086,1,3,2545,1,2,873,0,3,0,3,-1,0,1,-2,1,1,-1,0,1,0,0,0,-1,2,0,0,0,0
1,-1760,0,1,924,1,1,-232,3,1,1357,1,2,642,1,3,0,0,0,0,0,1,2,0,0,-2,0,0,0,0,0,1,1,0,-1,0
