OUTCOME,TOP_GOLD_LOG_RATIO,TOP2_IMPACT,TOP1_IMPACT,JUNGLE_GOLD_LOG_RATIO,JUNGLE2_IMPACT,JUNGLE1_IMPACT,MIDDLE_GOLD_LOG_RATIO,MIDDLE2_IMPACT,MIDDLE1_IMPACT,BOTTOM_GOLD_LOG_RATIO,BOTTOM2_IMPACT,BOTTOM1_IMPACT,UTILITY_GOLD_LOG_RATIO,UTILITY2_IMPACT,UTILITY1_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
1,-0.2296312475665801,2,1,0.2651902376149984,2,1,0.10801574179953112,2,2,0.9031919587500715,3,0,0.38223087006966844,3,0,0,0,0,0,1,1,-1,1,0,-2,3,1,1,1,1,1,0,0,0,0
0,-0.38192849328664996,2,1,-0.16698574126670437,3,1,-0.4468584553576045,0,1,0.01823005043437664,1,1,-0.6036964377122169,1,0,-1,-1,0,0,-2,1,0,-1,1,1,1,0,0,-1,0,0,0,0,-1,0
1,-0.09537401187796034,2,1,0.006740452966255683,0,2,-0.6903738765769546,1,0,-0.10387877559669503,1,1,-0.46185835603183734,1,1,0,-1,0,0,2,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0
1,-0.31874031163039296,0,1,0.17448216255261473,5,3,0.17477103092328264,4,0,1.180907405369403,0,4,0.32043964768669153,5,3,-1,0,0,0,0,0,-1,1,0,2,0,1,-1,1,2,2,0,0,-1,-2
0,-0.4877385302273689,1,2,0.09351783074143015,1,2,-0.3925351322033045,1,1,0.1805137878264055,0,1,0.28787925050684177,1,3,0,0,0,0,1,0,0,1,1,-1,0,0,0,1,0,2,0,0,0,0
1,0.6769595568386196,1,1,0.266225420050549,1,1,0.28568126113272063,0,0,-0.306233876148102,0,1,0.053606071605916385,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0
1,0.8209407429827932,1,2,-0.02710426567852993,2,3,-0.17964620749217186,1,1,-0.35844697940030457,1,1,0.019589320884165883,1,0,0,-1,1,1,1,-2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
1,-0.05937414334873349,2,0,0.19328067309514885,0,1,0.7445901266621181,1,0,0.4762050094378515,0,0,0.3620654721378025,4,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,-1,-1
0,0.2925707144188293,1,1,0.1482385125772904,1,1,0.2804430183714276,2,2,-0.6305351577641212,4,3,-0.613732739410815,2,1,0,0,0,0,1,0,3,-1,0,0,-1,0,0,-3,0,0,0,-2,1,0
1,-0.1393438266524393,2,1,-0.14947555337853646,2,1,-0.3376594513601845,0,1,0.4912419826293498,2,1,-0.2564381400734009,1,4,0,0,0,-1,-1,0,1,0,1,-1,1,0,0,1,0,0,1,1,-3,-1
0,-0.9076114722487468,1,0,-0.06797582629189279,1,2,-0.5217828684698734,3,2,0.5999417467351378,0,2,0.6557189149135427,2,2,-1,0,0,0,0,-1,1,2,-1,-1,0,0,0,0,0,0,-1,0,2,1
